r (cm)/ theta(deg),1.25,2.5,3.75,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,176.25,177.5,178.75
20,0.969435,0.97053,0.97074,0.972465,0.979992,0.984036,0.987593,0.989324,0.991682,0.993543,0.994505,0.996236,0.997174,0.997866,0.998568,0.999596,0.999598,0.999856,1.00016,1.00032,1,1.00012,1.00018,0.999786,0.99933,0.99883,0.998604,0.997489,0.996899,0.99592,0.994372,0.992424,0.990706,0.989017,0.985461,0.981106,0.976376,0.967009,0.963486,0.959969,0.957793

r (cm)/ theta(deg),1.25,2.5,3.75,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,176.25,177.5,178.75
0.25,-,-,-,-,1.41421,0.000315559,0.000315771,0.000312429,0.000323166,0.000321473,0.000322755,0.000328359,0.000324491,0.000330984,0.000330996,0.000336791,0.000332722,0.000335562,0.000341322,0.000330225,0,0.000335691,0.000333028,0.000341865,0.000334078,0.000334717,0.00033656,0.000337151,0.000337761,0.000334716,0.0003328,0.000322422,0.000333968,0.00032388,0.000310215,0.000307141,1.41332,-,-,-,-
0.5,-,0.00129561,0.00105483,0.000920954,0.00072221,0.000599707,0.000522397,0.00050464,0.000476542,0.000445372,0.000441154,0.000446498,0.000442101,0.000438069,0.000435416,0.000437803,0.000437671,0.000406835,0.000421622,0.000428136,0,0.000416818,0.000421075,0.000416511,0.000418405,0.000435115,0.000412549,0.00044263,0.000438111,0.00044502,0.000441595,0.000452927,0.000467643,0.000495535,0.000516549,0.000601506,0.000711724,0.000967271,1.41421,-,-
0.75,-,0.00194979,0.00165437,0.00141086,0.000966814,0.000813646,0.00068665,0.000663416,0.000603694,0.000571723,0.000544764,0.000538598,0.000528916,0.000518865,0.00050065,0.000503491,0.000490711,0.000489469,0.000504253,0.000494345,0,0.000483581,0.000489159,0.000504952,0.000506123,0.000500897,0.000507478,0.00051499,0.000527186,0.000546953,0.000545115,0.000584735,0.000616178,0.00065469,0.000709495,0.000817889,0.000982862,0.00142846,0.00176736,0.00205488,-
1,-,0.0023963,0.00194754,0.00173749,0.00123598,0.000967876,0.000809541,0.000748791,0.000694675,0.000673825,0.000654687,0.00063342,0.000606703,0.000613229,0.000591454,0.000581467,0.000561533,0.000546596,0.000555339,0.000578524,0,0.000566991,0.000580631,0.000548807,0.000562328,0.000580638,0.000598907,0.000587718,0.000608261,0.000628156,0.000629421,0.000689774,0.000738361,0.000764876,0.000831605,0.000972128,0.00120119,0.00179487,0.00206529,0.00245105,-
1.5,-,0.00132372,0.00132372,0.000943011,0.00064502,0.000510952,0.000468241,0.000431839,0.000397323,0.000362566,0.000335103,0.000335468,0.000330386,0.000318305,0.000309572,0.000293301,0.000305011,0.00028048,0.000294791,0.00029177,0,0.000283229,0.000292577,0.000290815,0.000299483,0.000300142,0.000294731,0.00031686,0.000326184,0.0003316,0.000349218,0.00035018,0.000392007,0.00042773,0.000456142,0.000543402,0.00063887,0.00100387,0.00139511,0.00139511,-
2,-,0.00171924,0.00125099,0.00106798,0.000777469,0.00059403,0.000545932,0.000503596,0.000467134,0.000410773,0.000401329,0.000399169,0.000374714,0.00035991,0.000351568,0.000348814,0.000347188,0.000339864,0.000344724,0.000333146,0,0.0003328,0.000334325,0.000338986,0.000335833,0.000345154,0.000349774,0.000347655,0.000362699,0.000380356,0.000406601,0.00041179,0.000435926,0.0004871,0.000541122,0.000598417,0.000762394,0.00109346,0.00134062,0.00179248,-
2.5,0.00216459,0.00160736,0.00133956,0.00114476,0.00085956,0.000676869,0.000595184,0.000533955,0.000506941,0.000454685,0.000446169,0.000446966,0.000405867,0.000387824,0.000394358,0.00038768,0.000372138,0.000370125,0.000367785,0.000372198,0,0.000366991,0.000365395,0.000373321,0.000369089,0.000394256,0.000375516,0.000383992,0.000411735,0.000423686,0.000450246,0.000467574,0.000483875,0.000522553,0.000569605,0.000676022,0.000806946,0.00122798,0.0013841,0.00160606,0.00221427
